date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2018-09-11,19.0,31.0,25.1,65.0,0.0,9.5,4.0,20.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-09-06,20.0,30.4,24.4,74.0,0.0,7.0,2.0,270.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-27,19.0,29.4,23.8,75.0,0.0,9.4,3.0,360.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-22,16.0,30.0,23.3,77.0,0.0,7.8,3.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-17,18.0,30.0,22.4,65.0,0.0,9.8,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-12,19.0,28.2,23.5,72.0,0.0,8.8,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-07,17.0,29.2,23.4,65.0,0.0,9.0,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-08-02,17.0,30.0,21.8,68.0,0.0,5.5,3.0,180.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-07-28,19.0,30.2,23.2,66.0,0.0,10.3,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-07-23,20.0,31.0,24.6,75.0,0.0,8.0,4.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-07-18,20.0,29.2,24.1,78.0,0.0,7.7,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-07-13,19.0,28.8,22.7,72.0,0.0,8.3,1.0,200.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-07-08,19.0,29.6,24.0,79.0,0.0,9.1,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-06-28,19.0,31.5,23.9,85.0,0.0,9.6,2.0,100.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-06-23,21.0,30.0,25.5,80.0,0.0,7.4,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2018-06-18,20.0,29.4,21.8,85.0,0.0,9.0,3.0,80.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
